"Marshall, W H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Marshall, W W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Marshall, Z T - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Martin, A B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Martin, G W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Martin, J H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Martin, J L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Martin, R B - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Mathews, D M - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Mathis, Isaac R - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mathius, D M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Matthews, C D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mattingly, James - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mattox, C C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Maulden, Jesse - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Maulden, Thomas - Age 21, Year: 1862 - First Cavalry, K-R"
"Mauldin, F M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Mauldin, Frank M - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Mauldin, Jesse - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Mauldin, J W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"May, Hampton - Age [Blank], Year: 1863 - First Cavalry, K-R"
"May, Joseph J - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Mayes, Hugh N - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Mayfield, Arch - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Mayfield, A T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mayfield, C M - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Mayfield, J H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Mayfield, William - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Mayhew, William - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Mays, H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Mayze, Hugh - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Maza, John - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McAfee, John H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McAlpin, D A - Age 22, Year: 1862 - First Cavalry, K-R"
"McCaffee, Isaac - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCall, James - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McCarley, C M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCarley, C S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCarroll, Thomas - Age [Blank], Year: 1865 - First Cavalry, K-R"
"McCarter, James B - Age [Blank], Year: 1865 - First Cavalry, K-R"
"McCarter, J H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McCarty, C L - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCarty, D - Age [Blank], Year: 1865 - First Cavalry, K-R"
"McCarty, Jerry - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McCarty, S E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McCarver, J R - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McCaskill, A P - Age [Blank], Year: 1864 - First Cavalry, K-R"
"McCaul, James - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCloud, N A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McClure, W P - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCoffee, Isaac - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCohnell, W M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McCollough, O - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCord, L P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McCormic, Joseph - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McCown, S P - Age 30, Year: 1863 - First Cavalry, K-R"
"McCoy, William H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McCraw, A W - Age 33, Year: 1863 - First Cavalry, K-R"
"McCrory, C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McCrun, A W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCullar, Oliver - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCullar, P - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCullar, W J - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McCuller, O - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCullor, Oliver - Age 22, Year: 1861 - First Cavalry, K-R"
"McCullor, W J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCullough, N H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McCullough, O - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCullough, Pruelto - Age 25, Year: 1861 - First Cavalry, K-R"
"McCuough, W J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McCurley, Charles N - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McDaniel, J A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McDarnell, J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McDavid, P - Age [Blank], Year: 1861 - First Cavalry, K-R"
"McDonal, William H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McDonald, Robert - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McDonald, William H - Age 23, Year: 1862 - First Cavalry, K-R"
"McFarland, J B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McFarland, J D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McGary, J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McGee, Martin - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGee, Samuel - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGee, T U - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGhee, Marion - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGhee, Martin - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGhee, Samuel - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGhee, T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGill, G C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGill, T C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGonegal, F M - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McGregor, W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McGuire, C L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McGuire, G R - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGuire, Richard - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McGuire, T Richard - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McIevain, D A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McIntosh, Daniel - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McIntosh, W L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McKee, B P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McKee, J L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McKenzie, J E - Age 29, Year: 1862 - First Cavalry, K-R"
"McKern, John - Age [Blank], Year: 1865 - First Cavalry, K-R"
"McKibben, W A - Age [Blank], Year: 1865 - First Cavalry, K-R"
"McKinnon, John - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McKlevane, D A - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McKnight, David W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McKnight, R H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McLelland, Robert C - Age [Blank], Year: 1861 - First Cavalry, K-R"
"McLemore, Robert S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McLemore, Robt W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McLemore, R W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McLeod, N A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McLeod, Bandal - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMahon, J B - Age [Blank], Year: 1863 - First Cavalry, K-R"
"McMemun, W F - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McMinn, A V - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMinn, B P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMinn, James H - Age 22, Year: 1861 - First Cavalry, K-R"
"McMinn, N B - Age 20, Year: 1862 - First Cavalry, K-R"
"McMinn, R J - Age 19, Year: 1861 - First Cavalry, K-R"
"McMinn, W P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMorrow, T I - Age [Blank], Year: 1865 - First Cavalry, K-R"
"McMullan, James D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMullen, Cul - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMullen, J D - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McMullin, C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McMurey, D A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McMurry, C W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMurry, D A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McMurry, J G - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McNeal, W L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McNiel, W L - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McNight, David W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McNight, D W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McNoyd, D H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McNoyd, D W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"McVay, E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McVay, J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"McWaters, E W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Medlin, Richard - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Melton, B F - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Melton, I - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Melton, W A - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Menasco, James N - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mences, I R - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Merlon, J J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Merrit, J F - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Middleton, William G - Age 31, Year: 1861 - First Cavalry, K-R"
"Milan, B B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Milan, D B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Miles, Robert - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Miling, B B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Miller, D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, David M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, D M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Miller, E G - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, H W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Miller, James D L - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Miller, James S - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Miller, J F - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, John H - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Miller, J L - Age 20, Year: 1865 - First Cavalry, K-R"
"Miller, J M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, James M D L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, J T - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Miller, J W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, L C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Miller, L E - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Miller, R C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, S E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, T D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, Wm H - Age 23, Year: 1862 - First Cavalry, K-R"
"Miller, W H - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Miller, William W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Miller, W J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Miller, W L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Milling, B B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Millins, William - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Mills, W S - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Mills, W W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Milton, John B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Milton, J J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Minor, H A - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Minter, Joseph T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mintor, J F - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Mintor, J T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Misnor, J H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Misso, Rocco - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mitchell, Andrew - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Mitchell, Benjamin - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Mitchell, W C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mitchell, W F - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Mize, Quincy Adams - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mize, W B - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Moan, P E - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Monasco, J N - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Montaque, Charles - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Montgomery, Daniel C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Montgomery, F A - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Montgomery, J M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Montgomery, W - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Montgomery, Wm F - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Mooney, J B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Moore, A P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Moore, Andy - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moore, Barney - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moore, Charles - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moore, Henry - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Moore, J A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Moore, James M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Moore, J L - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Moore, J T - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moore, M - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Moore, Peyton E - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moore, S A - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moore, Thomas C - Age 24, Year: 1863 - First Cavalry, K-R"
"Moore, William - Age [Blank], Year: 1862 - First Cavalry, K-R"
"More, Barney - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"More, J M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"More, S A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Moreland, W P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morgan, C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morgan, Hugh - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morgan, R G - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Morgan, Samuel - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morris, J M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morris, Zeb - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morrison, Franklin M - Age 25, Year: 1861 - First Cavalry, K-R"
"Morrison, W E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morrow, David - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Morrow, F W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Morrow, George W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moseley, Edward B - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moseley, John T - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Moss, Samuel R - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Mosstar, J T - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Moulden, G N - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Muirhead, I - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Mullens, William J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Mullins, W J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Murff, Waldermar - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Murphee, W H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Murphey, W H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murphree, W H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Murphy, James - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Murphy, S - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murphy, T J - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Murphy, William - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Murphy, Wm S - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murray, E W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murray, H E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murray, J E - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murray, J M - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Murray, W F - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murray, W H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Murry, H F - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Murry, Marshall H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Murry, M N - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Murth, Thomas J - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Muse, J M - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Myland, B B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Nash, W M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Neal, B H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Neal, T F - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Neal, William M - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Neeley, Samuel B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Neely, Saml B - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Neely, S L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Neely, S S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Neil, J H - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Neil, Wm - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Neilson, D W - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Nelson, D W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Nelson, V H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Nesbitt, R A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Nesbitt, S C - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Nesby, S C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Newby, E A - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Newell, N M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Newman, Benj Franklin - Age 48, Year: 1863 - First Cavalry, K-R"
"Newman, Jos H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Newman, Joseph H - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Nichols, J I - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Nicholson, F G - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Niles, S D G - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Nisbet, R A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Nisbett, S C - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Nix, Asa J - Age 24, Year: 1862 - First Cavalry, K-R"
"Nix, Asa J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Nix, C W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Nix, David - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Nix, J N - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Noble, John - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Norris, James A - Age 33, Year: 1864 - First Cavalry, K-R"
"Norwood, J W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Nuly, Henry - Age [Blank], Year: 1865 - First Cavalry, K-R"
"O ' Brian, William - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"O' Bryan, William - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Odem, T R - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Odeom, J G - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Odom, Thomas R - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Oldham, Oliver M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Oldham, Z N - Age [Blank], Year: 1863 - First Cavalry, K-R"
"O'neal, H - Age [Blank], Year: 1865 - First Cavalry, K-R"
"O' Neal, William L - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"O' Neil, Leroy - Age [Blank], Year: 1862 - First Cavalry, K-R"
"O' Neil, William L - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Orne, Edward - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Orr, Joseph - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Orr, N J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Orr, W H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Osborne, Egbert - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Osborne, James M - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Osborne, James S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Osburn, James W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Oswald, James H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Owens, A D - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Owens, D A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Owens, J M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pace, W J - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Pack, Dallas - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Pack, I F - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Pagan, William L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Paine, C F - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Paine, Hiram A - Age 29, Year: 1861 - First Cavalry, K-R"
"Park, E - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Parker, William - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Parks, J M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Parrish, W C - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Patterson, Frank - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Patton, Geo B - Age 29, Year: 1862 - First Cavalry, K-R"
"Patton, George B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Patton, P T - Age 22, Year: 1864 - First Cavalry, K-R"
"Paulett, James A - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Payne, Charles F - Age 28, Year: 1862 - First Cavalry, K-R"
"Payne, H A - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Payne, Richard C - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Payne, William W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Peak, Jeff P - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Peake, W H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pearce, H W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Pearre, James D - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pearre, M T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Peaster, I - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Peaster, W - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Pendleton, John - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Perdue, John F - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Perkins, Lewis - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Perkins, R N - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Perkins, Simeon - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Perkins, S J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Perkins, W H - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Permenter, J S - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Pernell, William F - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Perry, James - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Perry, J W - Age 19, Year: 1861 - First Cavalry, K-R"
"Perry, M J - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Perry, M T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Perry, W W - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Pervoine, D S - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Peterson, H J - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Peterson, S B - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Peterson, S M - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Peterson, S N - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Peterson, W W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Petree, John T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Petree, J T - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Pettee, W T - Age [Blank], Year: 1865 - First Cavalry, K-R"
"Pettus, Henry J - Age [Blank], Year: 1864 - First Cavalry, K-R"
"Petway, M L - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Philips, Worley N - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Philips, W T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Phillips, James - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Phillips, Joberry B - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Phillips, J T - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Phillips, L W - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Phillips, William H - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Philpot, J N - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pierce, H W - Age [Blank], Year: [BLANK] - First Cavalry, K-R"
"Pierce, Jacob H - Age [Blank], Year: 1863 - First Cavalry, K-R"
"Pierce, John - Age [Blank], Year: 1862 - First Cavalry, K-R"
"Pierce, Richard R - Age [Blank], Year: 1861 - First Cavalry, K-R"
"Pierce, Thomas M - Age [Blank], Year: 1862 - First Cavalry, K-R"
